it nTrial nWin nCatch RMSerror.start RMSerror.antic RMSerror.win RMSerror.nowin GLT.w-n GLT.a-w GLT.a-n GLT.a-w-n r.win r.nowin
86 36 9 5 0.39080 0.28600 0.43480 0.40470 0.25820 0.47890 0.44440 0.79450 0.069 -0.143
87 36 9 5 0.34940 0.29230 0.40880 0.35550 0.27590 0.45880 0.41550 0.71770 -0.009 0.034
88 36 9 5 0.34540 0.27400 0.46820 0.35140 0.29760 0.54060 0.45150 0.82170 -0.028 0.034
89 36 9 5 0.31700 0.28070 0.38790 0.32440 0.27640 0.45790 0.40570 0.68900 -0.044 -0.016
90 36 9 5 0.39980 0.28080 0.43540 0.40160 0.25850 0.52960 0.49760 0.85630 -0.029 -0.011
91 36 9 5 0.32550 0.29040 0.39330 0.35510 0.26770 0.44340 0.41200 0.70080 -0.069 -0.004
92 36 9 5 0.35750 0.28400 0.40370 0.36440 0.27000 0.45800 0.43030 0.73290 0.007 -0.115
93 36 9 5 0.35020 0.27410 0.42380 0.38040 0.31320 0.52020 0.49050 0.81380 0.071 -0.027
94 36 9 5 0.38160 0.27640 0.45350 0.38860 0.28690 0.51350 0.47280 0.82780 0.002 -0.045
95 36 9 5 0.34080 0.27190 0.41880 0.34770 0.28040 0.50140 0.44060 0.76760 -0.024 -0.024
96 36 9 5 0.36170 0.27170 0.42400 0.36900 0.26140 0.53970 0.49980 0.84550 0.010 0.006
97 36 9 5 0.35360 0.28980 0.41160 0.38800 0.26090 0.47470 0.44920 0.77140 0.023 -0.071
98 36 9 5 0.33700 0.27860 0.40790 0.35300 0.26730 0.49690 0.45310 0.77080 -0.034 -0.001
99 36 9 5 0.34640 0.28020 0.43800 0.32630 0.29790 0.50760 0.42540 0.75470 -0.020 -0.016
100 36 9 5 0.36710 0.28240 0.41600 0.36130 0.26480 0.50580 0.46640 0.79190 0.004 -0.017
1 36 9 10 0.41150 0.27210 0.45490 0.43570 0.27930 0.52850 0.50270 0.88130 0.020 -0.113
2 36 9 10 0.47520 0.27500 0.53130 0.48370 0.25020 0.59520 0.55880 1.02210 -0.039 -0.095
3 36 9 10 0.39930 0.27180 0.47200 0.42990 0.27660 0.52690 0.49410 0.88260 -0.053 -0.111
4 36 9 10 0.37350 0.30350 0.44450 0.43130 0.29170 0.45210 0.42750 0.77040 -0.034 -0.085
5 36 9 10 0.39500 0.27350 0.47640 0.40510 0.27920 0.53450 0.46300 0.85930 -0.077 -0.140
6 36 9 10 0.44850 0.29350 0.50540 0.48290 0.26060 0.52020 0.48880 0.91870 0.011 -0.186
7 36 9 10 0.40150 0.29350 0.48140 0.44360 0.27860 0.50600 0.46610 0.85920 -0.030 -0.198
8 36 9 10 0.40810 0.27400 0.46330 0.44250 0.26550 0.52770 0.50340 0.89260 -0.034 -0.160
9 36 9 10 0.44830 0.27620 0.56540 0.47720 0.27510 0.58770 0.51050 1.00070 -0.062 -0.164
10 36 9 10 0.40790 0.27880 0.52350 0.41180 0.29230 0.55830 0.46670 0.90000 -0.110 -0.108
11 36 9 10 0.38740 0.27750 0.45240 0.42810 0.25020 0.50880 0.48550 0.86190 -0.004 -0.170
12 36 9 10 0.46490 0.29740 0.52070 0.48060 0.27290 0.52750 0.49210 0.92710 -0.048 -0.178
13 36 9 10 0.41920 0.27390 0.49220 0.42340 0.27260 0.57030 0.51000 0.92600 -0.074 -0.065
14 36 9 10 0.38570 0.29350 0.46120 0.39750 0.26960 0.48790 0.43090 0.79730 -0.142 -0.101
15 36 9 10 0.40230 0.27610 0.46490 0.44690 0.28080 0.52180 0.50380 0.88700 -0.038 -0.159
16 36 9 10 0.39170 0.27790 0.43890 0.41430 0.26870 0.52770 0.49620 0.86000 -0.035 -0.078
17 36 9 10 0.40500 0.27030 0.45290 0.41730 0.26860 0.53110 0.49550 0.87270 -0.071 -0.118
18 36 9 10 0.40980 0.27420 0.43850 0.41160 0.26200 0.49500 0.46890 0.82620 -0.009 -0.040
19 36 9 10 0.43640 0.27260 0.51310 0.44690 0.26050 0.57800 0.52050 0.96220 -0.026 -0.122
20 36 9 10 0.36590 0.27650 0.42720 0.36320 0.26980 0.48530 0.43480 0.76800 -0.118 0.010
21 36 9 10 0.41730 0.29090 0.52680 0.43880 0.26520 0.52250 0.45550 0.89200 -0.126 -0.071
22 36 9 10 0.45590 0.28180 0.48930 0.46990 0.26040 0.52580 0.50690 0.92000 -0.023 -0.177
23 36 9 10 0.46260 0.28150 0.53390 0.53090 0.28520 0.57300 0.56680 1.02760 0.007 -0.095
24 36 9 10 0.43860 0.27720 0.45480 0.42530 0.25900 0.50550 0.47900 0.85370 -0.063 -0.149
25 36 9 10 0.40680 0.27280 0.48720 0.43460 0.25770 0.54540 0.50650 0.91620 -0.058 -0.139
26 36 9 10 0.41000 0.29300 0.50370 0.42240 0.29530 0.50890 0.44410 0.84580 -0.064 -0.173
27 36 9 10 0.39770 0.29580 0.43920 0.38430 0.26880 0.47640 0.43230 0.77110 -0.079 -0.135
28 36 9 10 0.43950 0.29130 0.49350 0.44910 0.26460 0.50390 0.45960 0.86920 -0.018 -0.048
29 36 9 10 0.39570 0.28370 0.44920 0.44130 0.31570 0.49100 0.47010 0.82370 -0.039 -0.148
30 36 9 10 0.38150 0.28880 0.42750 0.39440 0.27920 0.48150 0.45170 0.78290 -0.082 -0.139
31 36 9 10 0.41060 0.27490 0.50710 0.43150 0.28520 0.54900 0.48480 0.90720 -0.033 -0.151
32 36 9 10 0.39550 0.28620 0.44610 0.40890 0.37460 0.50710 0.47780 0.79340 -0.038 -0.146
33 36 9 10 0.41060 0.28780 0.43940 0.42020 0.27960 0.48870 0.46840 0.81670 -0.091 -0.137
34 36 9 10 0.47370 0.29440 0.54070 0.48410 0.28480 0.54110 0.49440 0.94660 -0.089 -0.080
35 36 9 10 0.41080 0.27710 0.43980 0.40710 0.26070 0.50730 0.47260 0.83380 -0.032 -0.144
36 36 9 10 0.44400 0.30010 0.55970 0.46210 0.28300 0.53800 0.46420 0.92820 -0.127 -0.076
37 36 9 10 0.36570 0.28990 0.40600 0.39290 0.27210 0.45610 0.44680 0.75420 -0.084 -0.154
38 36 9 10 0.46360 0.29730 0.51300 0.43510 0.29470 0.52590 0.45940 0.87460 -0.058 -0.127
