iteration nWin nCatch sum contrast
w54_c15_0021 54 15 0.45080 0.72170
w54_c15_0022 54 15 0.43780 0.69690
w54_c15_0023 54 15 0.44330 0.69810
w54_c15_0024 54 15 0.44480 0.68550
w54_c15_0025 54 15 0.44410 0.68460
w54_c15_0026 54 15 0.44840 0.70300
w54_c15_0027 54 15 0.45760 0.71990
w54_c15_0028 54 15 0.44410 0.69090
w54_c15_0029 54 15 0.44690 0.69620
w54_c15_0030 54 15 0.45510 0.72730
w54_c15_0031 54 15 0.45070 0.69690
w54_c15_0032 54 15 0.45210 0.69800
w54_c15_0033 54 15 0.43820 0.69290
w54_c15_0034 54 15 0.43520 0.68270
w54_c15_0035 54 15 0.45640 0.71490
w54_c15_0036 54 15 0.44140 0.71010
w54_c15_0037 54 15 0.44740 0.70480
w54_c15_0038 54 15 0.45050 0.72490
w54_c15_0039 54 15 0.44090 0.69180
w54_c15_0040 54 15 0.43920 0.70580
w54_c15_0041 54 15 0.43260 0.66660
w54_c15_0042 54 15 0.44420 0.70100
w54_c15_0043 54 15 0.44390 0.69710
w54_c15_0044 54 15 0.43890 0.70270
w54_c15_0045 54 15 0.45270 0.72560
w54_c15_0046 54 15 0.44380 0.69500
w54_c15_0047 54 15 0.45940 0.73880
w54_c15_0048 54 15 0.44850 0.70960
w54_c15_0049 54 15 0.44730 0.70330
w54_c15_0050 54 15 0.45040 0.71740
w54_c20_0001 54 20 0.44190 0.69880
w54_c20_0002 54 20 0.45030 0.69470
w54_c20_0003 54 20 0.44210 0.70060
w54_c20_0004 54 20 0.44380 0.70400
w54_c20_0005 54 20 0.45010 0.70950
w54_c20_0006 54 20 0.44340 0.69080
w54_c20_0007 54 20 0.44460 0.66500
w54_c20_0008 54 20 0.45390 0.71000
w54_c20_0009 54 20 0.45510 0.70200
w54_c20_0010 54 20 0.44890 0.70020
w54_c20_0011 54 20 0.44630 0.68900
w54_c20_0012 54 20 0.44460 0.70550
w54_c20_0013 54 20 0.44140 0.68440
w54_c20_0014 54 20 0.45340 0.71920
w54_c20_0015 54 20 0.44800 0.69530
w54_c20_0016 54 20 0.44330 0.70230
w54_c20_0017 54 20 0.43930 0.68390
w54_c20_0018 54 20 0.45290 0.71340
w54_c20_0019 54 20 0.44890 0.70600
w54_c20_0020 54 20 0.44950 0.70220
w54_c20_0021 54 20 0.44420 0.69550
w54_c20_0022 54 20 0.44810 0.68160
w54_c20_0023 54 20 0.44570 0.69540
w54_c20_0024 54 20 0.45060 0.71330
w54_c20_0025 54 20 0.44420 0.69030
w54_c20_0026 54 20 0.44090 0.67160
w54_c20_0027 54 20 0.43950 0.67170
w54_c20_0028 54 20 0.44700 0.70490
w54_c20_0029 54 20 0.43600 0.68400
w54_c20_0030 54 20 0.44540 0.71200
w54_c20_0031 54 20 0.45100 0.72610
w54_c20_0032 54 20 0.43880 0.68100
w54_c20_0033 54 20 0.45100 0.72700
w54_c20_0034 54 20 0.45080 0.71190
w54_c20_0035 54 20 0.45250 0.70850
w54_c20_0036 54 20 0.45310 0.72810
w54_c20_0037 54 20 0.44390 0.69320
w54_c20_0038 54 20 0.44600 0.70170
w54_c20_0039 54 20 0.44020 0.69020
w54_c20_0040 54 20 0.44600 0.69050
w54_c20_0041 54 20 0.44660 0.70900
w54_c20_0042 54 20 0.46160 0.73830
w54_c20_0043 54 20 0.44260 0.69280
w54_c20_0044 54 20 0.43960 0.66170
w54_c20_0045 54 20 0.44550 0.70230
w54_c20_0046 54 20 0.44580 0.70970
w54_c20_0047 54 20 0.45000 0.72070
w54_c20_0048 54 20 0.44600 0.70110
w54_c20_0049 54 20 0.44330 0.68200
w54_c20_0050 54 20 0.45090 0.69940
